id,name,city,state,lon,lat
53,"Hiram W Davis Medical Center","ADDISON","VA",-0077.454147,+0037.204868
54,"Jefferson Hospital","ROANOKE","VA",-0079.946983,+0037.261806
55,"Keezel Infirmary","DALE ENTERPRISE","VA",-0078.871422,+0038.439297
56,"Letcher Memorial Hospital (historical)","EDGERTON","VA",-0077.843330,+0036.762089
57,"Lynchburg General Hospital","BOCOCK","VA",-0079.171692,+0037.417080
58,"Martha Jefferson Hospital","CHARLOTTESVILLE","VA",-0078.471672,+0038.032078
59,"McGuire Veterans Hospital","BENSLEY","VA",-0077.466377,+0037.495430
60,"Memorial Hospital of Martinsville and Henry County","MARTINSVILLE CITY","VA",-0079.867546,+0036.699306
61,"Nelson Clinic","DOWNTOWN RICHMOND","VA",-0077.430809,+0037.540974
62,"Northampton-Accomack Memorial Hospital","BIRDSNEST","VA",-0075.861046,+0037.476803
63,"Piedmont State Hospital","BURKEVILLE","VA",-0078.175278,+0037.192371
64,"Prince William Hospital","BULL RUN","VA",-0077.486649,+0038.767334
65,"Randolph Hospital","BIRCHETT ESTATE","VA",-0077.291092,+0037.307930
66,"Richmond Eye and Ear Hospital","DOWNTOWN RICHMOND","VA",-0077.431923,+0037.540974
67,"Roanoke Memorial Hospital Rehabilitation Center","ROANOKE","VA",-0079.945038,+0037.249577
68,"Russell County Medical Center","LEBANON","VA",-0082.078743,+0036.898720
69,"Salvation Army Hospital","DOWNTOWN RICHMOND","VA",-0077.417206,+0037.564865
70,"Sheltering Arms Physical Rehabilitation Hospital","DOWNTOWN RICHMOND","VA",-0077.456093,+0037.579586
71,"Southampton Memorial Hospital","FRANKLIN","VA",-0076.937737,+0036.691818
72,"Southwestern State Hospital","MARION","VA",-0081.511230,+0036.832893
73,"The Retreat Hospital","DOWNTOWN RICHMOND","VA",-0077.473038,+0037.554314
74,"United States Public Health Service Hospital","DOWNTOWN NORFOLK","VA",-0076.302727,+0036.901539
75,"Vinton Family Medical Center","ROANOKE","VA",-0079.869476,+0037.279026
76,"Walter Reed Convalescent Center","ARK","VA",-0076.543282,+0037.421810
77,"Westminster Hospital","DOWNTOWN RICHMOND","VA",-0077.458595,+0037.597923
78,"Winslow Hospital","GATEWOOD","NC",-0079.399467,+0036.569027
79,"Woodrow Wilson Rehabilitation Center","STAUNTON","VA",-0078.991692,+0038.117912
80,"Kerbs Hospital","NORTH FAIRFAX","VT",-0073.071800,+0044.807545
81,"Caldwell Health Center","DES MOINES","WA",-0122.322350,+0047.390102
82,"Dayton General Hospital","DAYTON","WA",-0117.969933,+0046.312084
83,"General Hospital of Everett","EVERETT","WA",-0122.207352,+0047.999538
84,"Klickitat Valley Hospital","GOLDENDALE","WA",-0120.810898,+0045.820126
85,"Mason General Hospital","SHELTON","WA",-0123.114326,+0047.225647
86,"Overlake Memorial Hospital","BELLEVUE","WA",-0122.187347,+0047.620102
87,"Riverton General Hospital","BURIEN","WA",-0122.296234,+0047.487320
88,"Saint Josephs Hospital","CHEWELAH","WA",-0117.710793,+0048.277958
89,"Stevens Memorial Hospital","LAKE FOREST PARK","WA",-0122.334572,+0047.803150
90,"Western Washington State Hospital","FIRCREST","WA",-0122.566238,+0047.180099
91,"Bellin Memorial Hospital","ALLOUEZ","WI",-0088.011215,+0044.502213
92,"Bloomer Community Hospital","BLOOMER","WI",-0091.501831,+0045.101902
93,"Central State Hospital","WAUPUN","WI",-0088.737045,+0043.624157
94,"Divine Savior Hospital","PORTAGE","WI",-0089.478180,+0043.540543
95,"Dunn County Health Care Center","MENOMONIE","WI",-0091.887398,+0044.887180
96,"Fond du Lac County Hospital","NORTH FOND DU LAC","WI",-0088.476219,+0043.756378
97,"Grantsburg Clinic","BRANSTAD","MN",-0092.687988,+0045.774956
98,"Hickory Grove Sanatorium","WRIGHTSTOWN","WI",-0088.121490,+0044.391384
99,"Janesville Medical Center","JANESVILLE","WI",-0088.974548,+0042.698902
100,"Lakeland Hospital","COMO","WI",-0088.493431,+0042.663074
101,"Lutheran Hospital","FRENCH ISLAND","MN",-0091.246529,+0043.794407
102,"Marinette County Hospital","HARMONY","WI",-0087.731499,+0045.055813
103,"Memorial Hospital","MENOMONIE","WI",-0091.914612,+0044.872463
104,"Mendota State Hospital","MAPLE BLUFF","WI",-0089.401230,+0043.132217
105,"Milwaukee Hospital","SHOREWOOD","WI",-0087.940643,+0043.042793
106,"New Berlin Memorial Hospital","ELM GROVE","WI",-0088.085655,+0042.987514
107,"Oconto County Hospital","OCONTO","WI",-0087.863991,+0044.884430
108,"Reedsburg Area Medical Center","REEDSBURG","WI",-0089.993454,+0043.550541
109,"River Falls Area Hospital","RIVER FALLS","WI",-0092.622421,+0044.863857
110,"Rock County Health Care Center","JANESVILLE","WI",-0089.027893,+0042.725838
111,"Saint Agnes Hospital","NORTH FOND DU LAC","WI",-0088.430107,+0043.778320
112,"Saint Elizabeth Hospital","APPLETON","WI",-0088.403717,+0044.248596
113,"Saint Joseph Hospital","ASHLAND","WI",-0090.880753,+0046.593552
114,"Saint Josephs Hospital","SUPERIOR","MN",-0092.125191,+0046.715500
115,"Saint Marys Hospital","BROKAW","WI",-0089.620125,+0044.979691
116,"Saint Marys Hospital","SUPERIOR","MN",-0092.091019,+0046.725769
117,"Saint Vincent Hospital","ALLOUEZ","WI",-0088.012329,+0044.500824
118,"Springwater Nursing Home","WILD ROSE","WI",-0089.239006,+0044.184418
119,"Tomah Care Center","TOMAH","WI",-0090.515411,+0043.972744
120,"Vernon Memorial Hospital","LIBERTY POLE","WI",-0090.888458,+0043.551365
121,"Wausau Hospital Center","BROKAW","WI",-0089.667900,+0044.965801
122,"Adena Hills Behaviorial Health Center","GLEN DALE","OH",-0080.722870,+0039.911747
123,"Bluefield Sanitarium (historical)","CLEAR FORK","WV",-0081.222321,+0037.267899
124,"Camden Clark Memorial Hospital","BLENNERHASSETT","OH",-0081.559845,+0039.269516
125,"Conley Hospital","TERRA ALTA","MD",-0079.519768,+0039.439266
126,"Family Care Outpatient Clinic","HUNTINGTON","OH",-0082.427658,+0038.420914
127,"Greenbrier Valley Hospital (historical)","RONCEVERTE","WV",-0080.468964,+0037.748734
128,"Hillcrest Sanitarium","CHARLESTON","WV",-0081.599564,+0038.337879
129,"Jones Hospital","TERRA ALTA","MD",-0079.518105,+0039.439266
130,"Man Appalachian Regional Hospital","MALLORY","WV",-0081.874557,+0037.731499
131,"Memorial Hospital","CHARLESTON","WV",-0081.603180,+0038.330101
132,"Mountain View Regional Rehabilitation Hospital","GRANVILLE","PA",-0079.962845,+0039.657021
133,"Pinecrest Sanitarium","BEAVER","WV",-0081.165382,+0037.783726
134,"Princeton Hospital (historical)","KEGLEY","WV",-0081.097321,+0037.369839
135,"Riverpark Hospital","HUNTINGTON","OH",-0082.436821,+0038.419525
136,"Saint Lukes Hospital","CLEAR FORK","WV",-0081.219254,+0037.258450
137,"Southern Hills Regional Rehabilitation Hospital","ATHENS","WV",-0081.059532,+0037.363728
138,"Summersville Memorial Hospital","SUMMERSVILLE","WV",-0080.829254,+0038.292332
139,"Weirton General Hospital","WEIRTON","PA",-0080.600075,+0040.445068
140,"Weston State Hospital","JACKSON MILL","WV",-0080.471489,+0039.038425
141,"Adult Foster Care Hospital","TORRINGTON","WY",-0104.181610,+0042.064964
142,"Case Golden Age Care Hospital","RANCHESTER","MT",-0107.163414,+0044.908859
143,"Crook County Nursing Home","SUNDANCE","WY",-0104.375786,+0044.406376
144,"Irvine Home Trust","WHEATLAND","WY",-0104.952744,+0042.054409
145,"Meadowlark Maison Hospital","WHEATLAND","WY",-0104.952744,+0042.054409
146,"Mondell Heights Odd Fellow/Rebekah Retirement Home","DOWNTOWN NEWCASTLE","WY",-0104.204933,+0043.854698
147,"Our House Hospital","CODY","WY",-0109.056526,+0044.526344
148,"Platte County Memorial Nursing Home","WHEATLAND","WY",-0104.952744,+0042.054409
149,"Riverton Memorial Hospital","RIVERTON","WY",-0108.380096,+0043.024960
150,"South Lincoln Medical Center","DIAMONDVILLE","WY",-0110.537666,+0041.792446
151,"West Park Hospital","CODY","WY",-0109.056526,+0044.526344
152,"Adare Medical Center","COCOA","FL",-0080.722282,+0028.335562
153,"Baptist Hospital","BRENT","FL",-0087.231079,+0030.429087
154,"Bayonet Point/Hudson Regional Medical","BAYONET POINT","FL",-0082.699821,+0028.365004
155,"Brewster Hospital","ARLINGTON","FL",-0081.662872,+0030.344683
156,"Campellton-Graceville Hospital","BROWNTOWN","AL",-0085.498543,+0030.963516
157,"Central Florida Hospital","CLARCONA","FL",-0081.485069,+0028.572224
158,"Charter Springs Hospital","OCALA","FL",-0082.122871,+0029.151644
159,"Community Hospital of New Port Richey","PORT RICHEY","FL",-0082.718994,+0028.255011
160,"De Poo Hospital","KEY WEST",,-0081.796486,+0024.557648
161,"Doctors Hospital of Lake Worth","GREENACRES CITY","FL",-0080.072266,+0026.628679
162,"East Pointe Hospital","PAGE FIELD AIRPORT","FL",-0081.834808,+0026.652849
163,"Fair Oaks Hospital at Boca/Delray","BOYNTON BEACH","FL",-0080.067543,+0026.473129
164,"Flagler Memorial Hospital","ANASTASIA","FL",-0081.307014,+0029.882191
165,"Florida Sanitarium","ALOMA","FL",-0081.369797,+0028.575556
166,"Gateway Plaze Hospital","ARLINGTON","FL",-0081.638985,+0030.345516
167,"Gulf Coast Community Hospital","CEDAR GROVE","FL",-0085.700768,+0030.191036
168,"Hamilton County Memorial Hospital","JASPER","GA",-0082.959579,+0030.521885
169,"Hialeah Hospital","HIALEAH","FL",-0080.268661,+0025.845373
170,"Holmes County Hospital","LYNN HAVEN","FL",-0085.676872,+0030.284920
171,"Humana Hospital Cypress","COCONUT CREEK","FL",-0080.141708,+0026.227028
172,"Humana Hospital Orange Park","BELLAIR","FL",-0081.712318,+0030.165796
173,"Humana Womens Hospital Tampa","DAVIS ISLANDS","FL",-0082.491760,+0027.980297
174,"Jay Hospital","PINE LEVEL","AL",-0087.147469,+0030.954071
175,"Kissimmee Memorial Hospital","BUENA VENTURA LAKE","FL",-0081.404518,+0028.297232
176,"Lake Seminole Hospital","NORTH REDINGTON BEACH","FL",-0082.785103,+0027.860302
177,"Larkin General Hospital","CORAL GABLES","FL",-0080.295883,+0025.707323
178,"Lisenby Hospital","BAY HARBOR","FL",-0085.681877,+0030.168259
179,"Mariners Hospital","FLAMINGO","FL",-0080.513672,+0025.014574
180,"Memorial Hospital","DANIA BEACH","FL",-0080.180328,+0026.019257
181,"Mercy Hospital","CORAL GABLES","FL",-0080.216164,+0025.740099
182,"Miami General Hospital","LIBERTY CITY","FL",-0080.192551,+0025.766766
183,"Mound Park Hospital","PINELLAS POINT","FL",-0082.642326,+0027.763361
184,"Nassau General Hospital","FERNANDINA BEACH","GA",-0081.451485,+0030.670794
185,"North Gables Hospital","CORAL GABLES","FL",-0080.255882,+0025.763988
186,"Northeast Florida State Hospital","GLEN SAINT MARY","FL",-0082.135391,+0030.235514
187,"Orlando General Hospital","ALOMA","FL",-0081.325905,+0028.539448
188,"Palm Springs General Hospital","DORAL","FL",-0080.311714,+0025.867874
189,"Pinellas County Hospital","BELLEAIR SHORES","FL",-0082.788712,+0027.894188
190,"Putnam Community Hospital","PALATKA","FL",-0081.683418,+0029.641634
191,"Saint Anthony Hospital","PINELLAS POINT","FL",-0082.650101,+0027.778639
192,"Saint Johns River Hospital","PONTE VEDRA BEACH","FL",-0081.397865,+0030.287464
193,"Saint Marys Hospital","PALM BEACH","FL",-0080.064209,+0026.756174
194,"Shands Teaching Hospital and Clinic","GAINESVILLE","FL",-0082.343437,+0029.639969
195,"South Florida State Hospital","COOPER CITY","FL",-0080.252823,+0025.997313
196,"Southeastern Medical Center","AVENTURA","FL",-0080.179771,+0025.925371
197,"Sunland Training Center","GAINESVILLE","FL",-0082.293991,+0029.669134
198,"Tampa General Hospital","SOUTH TAMPA","FL",-0082.458984,+0027.938354
199,"University Community Hospital","CORAL SPRINGS","FL",-0080.254219,+0026.212305
200,"University of Miami Hospital and Clinics","CORAL GABLES","FL",-0080.288940,+0025.751766
201,"Washington County Hospital","CHIPLEY","FL",-0085.542709,+0030.765192
202,"West Lake Hospital","ALTAMONTE SPRINGS","FL",-0081.350349,+0028.710831
203,"Winter Park Memorial Hospital","ALOMA","FL",-0081.326736,+0028.598057
204,"Hilo Hospital","HILO","HI",-0155.115021,+0019.718630
205,"Queens Hospital","ALA MOANA BEACH PARK","HI",-0157.854187,+0021.307665
206,"Hospital Sagrado Corazon","SAN JUAN",,-0066.054611,+0018.441332
207,"United States Naval Hospital Annex","AGANA HEIGHTS",,+0144.706390,+0013.472220
208,"Arab Hospital","ARAB","AL",-0086.496384,+0034.313427
209,"Baptist Medical Center Montclair","BIRMINGHAM","AL",-0086.748886,+0033.517323
210,"Black Belt Community Health Center","GAINESVILLE","AL",-0088.167244,+0032.774303
211,"Brookwood Medical Clinic","BROOKWOOD","AL",-0087.313606,+0033.260674
212,"CED Mental Health Center","FORT PAYNE","AL",-0085.712753,+0034.455647
213,"Chambers County Hospital","LAFAYETTE","AL",-0085.409119,+0032.884014
214,"Choctaw County Hospital","BUTLER","AL",-0088.203911,+0032.089035
215,"Columbia General Hospital","ANDALUSIA","AL",-0086.502739,+0031.313499
216,"Crestwood Hospital","HUNTSVILLE","AL",-0086.631104,+0034.717033
217,"DeKalb County Health Clinic","FORT PAYNE","AL",-0085.726639,+0034.438148
218,"Doctor D E Jackson Memorial Hospital","MINOR HILL","TN",-0087.153625,+0034.990364
219,"El Reposo Sanatorium","IRON CITY","TN",-0087.575020,+0034.963974
220,"Evergreen Hospital","BROWNVILLE","AL",-0086.947189,+0031.421837
221,"Geneva County Hospital","EUNOLA","AL",-0085.892998,+0031.048790
222,"Greenville Confederate Hospital (historical)","GREENVILLE","AL",-0086.631088,+0031.831543
223,"Haven Hospital","DOTHAN","AL",-0085.461044,+0031.247393
224,"Holy Name of Jesus Hospital","GADSDEN","AL",-0086.003578,+0034.004818
225,"Huntsville Hospital","HUNTSVILLE","AL",-0086.580551,+0034.720371
226,"Jackson Hospital","CARSON","AL",-0087.894997,+0031.530993
227,"Lakeview Community Hospital","EUFAULA","AL",-0085.156044,+0031.888491
228,"Lyster Army Hospital","CAIRNS AAF","AL",-0085.724106,+0031.327112
229,"McMillan Memorial Hospital","BREWTON","AL",-0087.073303,+0031.127117
230,"Mobile Mental Health Center","COCHRANE BRIDGE","AL",-0088.098061,+0030.705750
231,"Noland Hospital","BRIGHTON","AL",-0086.907494,+0033.486778
232,"Parkway Medical Center Hospital","DECATUR","AL",-0087.015839,+0034.576763
233,"Piedmont Hospital","PIEDMONT","AL",-0085.619965,+0033.919540
234,"Randolph County Hospital","ROANOKE","AL",-0085.388557,+0033.157898
235,"Saint Clair Nursing Home","MOODY","AL",-0086.413597,+0033.577602
236,"Searcy State Hospital","CALVERT","AL",-0088.029167,+0031.088507
237,"South Baldwin Hospital","FOLEY","AL",-0087.684425,+0030.425756
238,"Sparks Center","BIRMINGHAM","AL",-0086.803055,+0033.504547
239,"Tri-Counties Tuberculosis Sanatorium","SCOTTSBORO","AL",-0086.064148,+0034.673695
240,"University Hospital","BIRMINGHAM","AL",-0086.802490,+0033.505669
241,"Walker County Health Clinic","JASPER","AL",-0087.280571,+0033.836216
242,"Washington County Hospital","CHATOM","AL",-0088.235565,+0031.459335
243,"Winfield Carraway Hospital","GU-WIN","AL",-0087.824463,+0033.930103
244,"Arkansas State Hospital","CAMMACK VILLAGE","AR",-0092.322929,+0034.749531
245,"Baptist Memorial Hospital","CALDWELL","AR",-0090.772331,+0035.039261
246,"Bridgeway Hospital","CAMMACK VILLAGE","AR",-0092.354874,+0034.822033
247,"Chester Hospital","HOPE","AR",-0093.588509,+0033.660118
248,"Conway Regional Hospital","CONWAY","AR",-0092.457657,+0035.085644
249,"Cross County Hospital","WYNNE","AR",-0090.786224,+0035.219807
250,"Doctors Hospital","BLYTHEVILLE","MO",-0089.919250,+0035.930634
251,"Estelle Hospital (historical)","HEBER SPRINGS","AR",-0092.035980,+0035.491749
252,"Grays Hospital","BATESVILLE","AR",-0091.650421,+0035.772297
253,"Howard County Memorial Hospital","NASHVILLE","AR",-0093.857124,+0033.952335
254,"Lee County Memorial Hospital","MARIANNA","AR",-0090.774834,+0034.775654
255,"McGehee-Desha County Hospital","MCGEHEE","AR",-0091.392342,+0033.618439
256,"Nevada County Hospital","PRESCOTT","AR",-0093.377396,+0033.811779
257,"Ouachita County Hospital","CAMDEN","AR",-0092.836830,+0033.575943
258,"Randolph County Medical Center","ATTICA","AR",-0090.997063,+0036.289783
259,"Saint Bernards Regional Medical Center","JONESBORO","AR",-0090.702057,+0035.835907
260,"Saint Michael Hospital of Texarkana","TEXARKANA","TX",-0094.041023,+0033.425957
261,"Siloam Springs Memorial Hospital","WEST SILOAM SPRING","OK",-0094.540504,+0036.181469
262,"Tuberculosis Sanitorium","MILL CREEK","AR",-0094.347717,+0035.364262
263,"Van Buren Memorial Hospital","FORT SMITH","AR",-0094.340210,+0035.435368
264,"White River Medical Center","BATESVILLE","AR",-0091.634575,+0035.767857
265,"Arizona State Hospital","AVONDALE","AZ",-0112.025986,+0033.453938
266,"Camelback Hospital","PARADISE VALLEY","AZ",-0112.007645,+0033.511982
267,"Comstock Childrens Hospital","TUCSON","AZ",-0110.955925,+0032.240356
268,"Flagstaff Community Hospital","FLAGSTAFF","AZ",-0111.645996,+0035.208900
269,"Humana Phoenix Hospital","PHOENIX","AZ",-0112.035980,+0033.479481
270,"Mammoth Copper Corporation Hospital","SAN MANUEL","AZ",-0110.628975,+0032.612293
271,"Miami-Inspiration Hospital","CLAYPOOL","AZ",-0110.826225,+0033.405613
272,"North Mountain Hospital","PHOENIX","AZ",-0112.071259,+0033.580044
273,"Phoenix Community Hospital","PHOENIX","AZ",-0112.099037,+0033.533100
274,"Pinal General Hospital","CACTUS FOREST","AZ",-0111.393456,+0033.026730
275,"Saint Josephs Hospital","PHOENIX","AZ",-0112.079590,+0033.481152
276,"San Manuel Copper Hospital","SAN MANUEL","AZ",-0110.627869,+0032.610634
277,"Tempe Saint Lukes Hospital","GUADALUPE","AZ",-0111.940704,+0033.411987
278,"University of Arizona Hospital and Medical Center","AVRA VALLEY","AZ",-0110.962868,+0032.240906
279,"Yavapai Community Hospital","PRESCOTT","AZ",-0112.481285,+0034.560024
280,"Alameda Hospital","OAKLAND","CA",-0122.253586,+0037.762989
281,"Alondra Crest Hospital","DOWNEY","CA",-0118.137840,+0033.888905
282,"Anaheim General Hospital","BUENA PARK","CA",-0118.007004,+0033.815845
283,"Arequipa Sanatorium","FAIRFAX","CA",-0122.611649,+0038.001034
284,"Avenal District Hospital","AVENAL","CA",-0120.134026,+0036.013565
285,"Barton Memorial Hospital","STATELINE","NV",-0119.997688,+0038.911579
286,"Belmont Heights Convalescent Hospital","LONG BEACH","CA",-0118.147842,+0033.772240
287,"Booth Memorial Hospital","OAKLAND","CA",-0122.221634,+0037.793819
288,"Brookside Hospital","BAYVIEW-MONTALVIN","CA",-0122.336365,+0037.953255
289,"Buena Park Doctors Hospital","BUENA PARK","CA",-0117.997833,+0033.876686
290,"California Medical Facility","VACAVILLE","CA",-0121.978012,+0038.328804
291,"Cedars of Lebanon Hospital","DOWNTOWN LOS ANGELES","CA",-0118.294235,+0034.095840
292,"Central Memorial Hospital","MONTCLAIR","CA",-0117.694214,+0034.079182
293,"Childrens Hospital","SAN FRANCISCO","CA",-0122.455803,+0037.786598
294,"Chowchilla Convalescent Hospital","CHOWCHILLA","CA",-0120.272675,+0037.122444
295,"City of Hope National Medical Center","AZUSA","CA",-0117.970337,+0034.129448
296,"Coastal Communities Hospital","COSTA MESA","CA",-0117.884506,+0033.710850
297,"Community Hospital of Huntington Park","EAST LOS ANGELES","CA",-0118.223969,+0033.989456
298,"Cordilleras Mental Health Center","ATHERTON","CA",-0122.286636,+0037.473827
299,"Cowell Health Center","LOS ALTOS HILLS","CA",-0122.164139,+0037.422157
300,"Daniel Freeman Memorial Hospital","CULVER CITY","CA",-0118.345078,+0033.966686
301,"Delta Memorial Hospital","ANTIOCH","CA",-0121.802734,+0037.982143
302,"Doctors Hospital","BAYVIEW-MONTALVIN","CA",-0122.301086,+0037.996864
303,"Downey Community Hospital","DOWNEY","CA",-0118.130898,+0033.934185
304,"Eisenhower Medical Center","PALM DESERT","CA",-0116.406677,+0033.762238
305,"Elmwood Rehabilitation Center","MILPITAS","CA",-0121.908569,+0037.417160
306,"Enloe Hospital","CHICO","CA",-0121.849419,+0039.742382
307,"Feather River Hospital","PARADISE","CA",-0121.571083,+0039.756824
308,"Fountain Valley Regional Hospital and Medical Center","COSTA MESA","CA",-0117.934502,+0033.714741
309,"General Hospital","BAYVIEW","CA",-0124.140343,+0040.788181
310,"Glenn Helen Infirmary (historical)","ADELANTO","CA",-0117.409210,+0034.211117
311,"Granada Hills Community Hospital","CHATSWORTH","CA",-0118.503693,+0034.259724
312,"Happyland Sanitarium","VALLEY CENTER","CA",-0116.986420,+0033.253643
313,"Hemet Valley Medical Center","EAST HEMET","CA",-0116.960854,+0033.749741
314,"Highland General Hospital","AUBURN","CA",-0121.062164,+0038.897678
315,"Hillside Hospital (historical)","PETALUMA","CA",-0122.642769,+0038.236305
316,"Holy Cross Medical Center","SAN FERNANDO","CA",-0118.458977,+0034.280560
317,"Imperial County Hospital","EL CENTRO","CA",-0115.561111,+0032.746998
318,"Jerry L Pettis Memorial Veterans Medical Center","COLTON","CA",-0117.250046,+0034.050297
319,"Kaiser Foundation Hospital","DOWNEY","CA",-0118.132568,+0033.902794
320,"Kaiser Foundation Hospital-Woodland Hills","WOODLAND HILLS","CA",-0118.588974,+0034.172783
321,"Kaiser Medical Center","ANTIOCH","CA",-0121.842461,+0038.004360
322,"Kaiser Permanente Medical Center","ALAMO","CA",-0122.058853,+0037.891315
323,"Kaiser-Permanente Medical Center","FREMONT","CA",-0121.976631,+0037.552155
324,"King-Drew Medical Center","COMPTON","CA",-0118.243126,+0033.922794
325,"La Mesa Sanitarium","CASA DE ORO-MOUNT HELIX","CA",-0117.003082,+0032.751442
326,"Lakewood Regional Medical Center","COMPTON","CA",-0118.149231,+0033.860016
327,"Laurel Heights Convalescent Hospital","SAN FRANCISCO","CA",-0122.439972,+0037.788258
328,"Little Company of Mary Hospital","HERMOSA BEACH","CA",-0118.357018,+0033.838345
329,"Loma Linda University Medical Center","COLTON","CA",-0117.264206,+0034.049736
330,"Los Angeles Community Hospital","EAST LOS ANGELES","CA",-0118.186470,+0034.019180
331,"Los Medanos Community Hospital","COLLINSVILLE","CA",-0121.870239,+0038.007141
332,"Madera County Hospital","MADERA","CA",-0120.036270,+0036.955227
333,"Marin General Hospital","CORTE MADERA","CA",-0122.535263,+0037.947144
334,"Maryknoll Hospital","AZUSA","CA",-0117.989227,+0034.156948
335,"Mendocino County Hospital","CALPELLA","CA",-0123.215004,+0039.158783
336,"Mercy Hospital","RALEY FIELD","CA",-0121.451630,+0038.569904
337,"Merritt Hospital","BERKELEY","CA",-0122.263023,+0037.821598
338,"Mills Memorial Hospital","BELMONT","CA",-0122.326645,+0037.564655
339,"Modesto State Hospital","MODESTO","CA",-0121.039375,+0037.661873
340,"Moreno Valley Medical Center","MARCH AFB","CA",-0117.188087,+0033.898628
341,"Mount Sinai Hospital","ALHAMBRA","CA",-0118.181465,+0034.046680
342,"Needles-Desert Communities Hospital","NEEDLES","AZ",-0114.617470,+0034.833065
343,"North Perris Medical Center","PERRIS","CA",-0117.225586,+0033.812519
344,"Oak Crest Sanitarium","LARKFIELD-WIKIUP","CA",-0122.707489,+0038.466854
