name,description
B17001e35,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Male:  6 to 11 years:  Population for whom poverty status is determined -- (Estimate)
B17001e36,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Male:  12 to 14 years:  Population for whom poverty status is determined -- (Estimate)
B17001e37,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Male:  15 years:  Population for whom poverty status is determined -- (Estimate)
B17001e38,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Male:  16 and 17 years:  Population for whom poverty status is determined -- (Estimate)
B17001e39,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Male:  18 to 24 years:  Population for whom poverty status is determined -- (Estimate)
B17001e40,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Male:  25 to 34 years:  Population for whom poverty status is determined -- (Estimate)
B17001e41,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Male:  35 to 44 years:  Population for whom poverty status is determined -- (Estimate)
B17001e42,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Male:  45 to 54 years:  Population for whom poverty status is determined -- (Estimate)
B17001e43,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Male:  55 to 64 years:  Population for whom poverty status is determined -- (Estimate)
B17001e44,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Male:  65 to 74 years:  Population for whom poverty status is determined -- (Estimate)
B17001e45,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Male:  75 years and over:  Population for whom poverty status is determined -- (Estimate)
B17001e46,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Female:  Population for whom poverty status is determined -- (Estimate)
B17001e47,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Female:  Under 5 years:  Population for whom poverty status is determined -- (Estimate)
B17001e48,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Female:  5 years:  Population for whom poverty status is determined -- (Estimate)
B17001e49,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Female:  6 to 11 years:  Population for whom poverty status is determined -- (Estimate)
B17001e50,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Female:  12 to 14 years:  Population for whom poverty status is determined -- (Estimate)
B17001e51,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Female:  15 years:  Population for whom poverty status is determined -- (Estimate)
B17001e52,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Female:  16 and 17 years:  Population for whom poverty status is determined -- (Estimate)
B17001e53,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Female:  18 to 24 years:  Population for whom poverty status is determined -- (Estimate)
B17001e54,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Female:  25 to 34 years:  Population for whom poverty status is determined -- (Estimate)
B17001e55,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Female:  35 to 44 years:  Population for whom poverty status is determined -- (Estimate)
B17001e56,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Female:  45 to 54 years:  Population for whom poverty status is determined -- (Estimate)
B17001e57,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Female:  55 to 64 years:  Population for whom poverty status is determined -- (Estimate)
B17001e58,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Female:  65 to 74 years:  Population for whom poverty status is determined -- (Estimate)
B17001e59,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Female:  75 years and over:  Population for whom poverty status is determined -- (Estimate)
B17003e2,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months below poverty level:  Population 25 years and over for whom poverty status is determined -- (Estimate)
B17003e3,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months below poverty level:  Male:  Population 25 years and over for whom poverty status is determined -- (Estimate)
B17003e4,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months below poverty level:  Male:  Less than high school graduate:  Population 25 years and over for whom poverty status is determined -- (Estim
B17003e5,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months below poverty level:  Male:  High school graduate (includes equivalency):  Population 25 years and over for whom poverty status is determi
B17003e6,"POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months below poverty level:  Male:  Some college, associate's degree:  Population 25 years and over for whom poverty status is determined -- (Est"
B17003e7,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months below poverty level:  Male:  Bachelor's degree or higher:  Population 25 years and over for whom poverty status is determined -- (Estimate
B17003e8,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months below poverty level:  Female:  Population 25 years and over for whom poverty status is determined -- (Estimate)
B17003e9,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months below poverty level:  Female:  Less than high school graduate:  Population 25 years and over for whom poverty status is determined -- (Est
B17003e10,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months below poverty level:  Female:  High school graduate (includes equivalency):  Population 25 years and over for whom poverty status is deter
B17003e11,"POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months below poverty level:  Female:  Some college, associate's degree:  Population 25 years and over for whom poverty status is determined -- (E"
B17003e12,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months below poverty level:  Female:  Bachelor's degree or higher:  Population 25 years and over for whom poverty status is determined -- (Estima
B17003e13,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months at or above poverty level:  Population 25 years and over for whom poverty status is determined -- (Estimate)
B17003e14,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months at or above poverty level:  Male:  Population 25 years and over for whom poverty status is determined -- (Estimate)
B17003e15,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months at or above poverty level:  Male:  Less than high school graduate:  Population 25 years and over for whom poverty status is determined --
B17003e16,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months at or above poverty level:  Male:  High school graduate (includes equivalency):  Population 25 years and over for whom poverty status is d
B17003e17,"POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months at or above poverty level:  Male:  Some college, associate's degree:  Population 25 years and over for whom poverty status is determined -"
B17003e18,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months at or above poverty level:  Male:  Bachelor's degree or higher:  Population 25 years and over for whom poverty status is determined -- (Es
B17003e19,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months at or above poverty level:  Female:  Population 25 years and over for whom poverty status is determined -- (Estimate)
B17003e20,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months at or above poverty level:  Female:  Less than high school graduate:  Population 25 years and over for whom poverty status is determined -
B17003e21,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months at or above poverty level:  Female:  High school graduate (includes equivalency):  Population 25 years and over for whom poverty status is
B17003e22,"POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months at or above poverty level:  Female:  Some college, associate's degree:  Population 25 years and over for whom poverty status is determined"
B17003e23,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Income in the past 12 months at or above poverty level:  Female:  Bachelor's degree or higher:  Population 25 years and over for whom poverty status is determined -- (
B17004e1,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Total:  Population 16 years and over for whom poverty status is determined -- (Estimate)
B17004e2,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months below poverty level:  Population 16 years and over for whom poverty status is determined -- (Estimate)
B17004e3,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months below poverty level:  Male:  Population 16 years and over for whom poverty status is determined -- (Estimate)
B17004e4,"POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months below poverty level:  Male:  Worked full time, year-round:  Population 16 years and over for whom poverty status is determined -- (Estimate)"
B17004e5,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months below poverty level:  Male:  Worked part-time or part-year:  Population 16 years and over for whom poverty status is determined -- (Estimate)
B17004e6,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months below poverty level:  Male:  Did not work:  Population 16 years and over for whom poverty status is determined -- (Estimate)
B17004e7,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months below poverty level:  Female:  Population 16 years and over for whom poverty status is determined -- (Estimate)
B17004e8,"POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months below poverty level:  Female:  Worked full time, year-round:  Population 16 years and over for whom poverty status is determined -- (Estimate)"
B17004e9,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months below poverty level:  Female:  Worked part-time or part-year:  Population 16 years and over for whom poverty status is determined -- (Estimate)
B17004e10,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months below poverty level:  Female:  Did not work:  Population 16 years and over for whom poverty status is determined -- (Estimate)
B17004e11,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months at or above poverty level:  Population 16 years and over for whom poverty status is determined -- (Estimate)
B17004e12,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months at or above poverty level:  Male:  Population 16 years and over for whom poverty status is determined -- (Estimate)
B17004e13,"POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months at or above poverty level:  Male:  Worked full time, year-round:  Population 16 years and over for whom poverty status is determined -- (Estimate"
B17004e14,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months at or above poverty level:  Male:  Worked part-time or part-year:  Population 16 years and over for whom poverty status is determined -- (Estimat
B17004e15,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months at or above poverty level:  Male:  Did not work:  Population 16 years and over for whom poverty status is determined -- (Estimate)
B17004e16,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months at or above poverty level:  Female:  Population 16 years and over for whom poverty status is determined -- (Estimate)
B17004e17,"POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months at or above poverty level:  Female:  Worked full time, year-round:  Population 16 years and over for whom poverty status is determined -- (Estima"
B17004e18,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months at or above poverty level:  Female:  Worked part-time or part-year:  Population 16 years and over for whom poverty status is determined -- (Estim
B17004e19,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE:  Income in the past 12 months at or above poverty level:  Female:  Did not work:  Population 16 years and over for whom poverty status is determined -- (Estimate)
B17005e1,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Total:  Civilian population 16 years and over for whom poverty status is determined -- (Estimate)
B17005e2,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months below poverty level:  Civilian population 16 years and over for whom poverty status is determined -- (Estimate)
B17005e3,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months below poverty level:  Male:  Civilian population 16 years and over for whom poverty status is determined -- (Estimate)
B17005e4,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months below poverty level:  Male:  In labor force:  Civilian population 16 years and over for whom poverty status is determined -- (Estimate)
B17005e5,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months below poverty level:  Male:  In labor force:  Employed:  Civilian population 16 years and over for whom poverty status is determined -- (Estima
B17005e6,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months below poverty level:  Male:  In labor force:  Unemployed:  Civilian population 16 years and over for whom poverty status is determined -- (Esti
B17005e7,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months below poverty level:  Male:  Not in labor force:  Civilian population 16 years and over for whom poverty status is determined -- (Estimate)
B17005e8,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months below poverty level:  Female:  Civilian population 16 years and over for whom poverty status is determined -- (Estimate)
B17005e9,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months below poverty level:  Female:  In labor force:  Civilian population 16 years and over for whom poverty status is determined -- (Estimate)
B17005e10,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months below poverty level:  Female:  In labor force:  Employed:  Civilian population 16 years and over for whom poverty status is determined -- (Esti
B17005e11,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months below poverty level:  Female:  In labor force:  Unemployed:  Civilian population 16 years and over for whom poverty status is determined -- (Es
B17005e12,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months below poverty level:  Female:  Not in labor force:  Civilian population 16 years and over for whom poverty status is determined -- (Estimate)
B17005e13,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months at or above poverty level:  Civilian population 16 years and over for whom poverty status is determined -- (Estimate)
B17005e14,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months at or above poverty level:  Male:  Civilian population 16 years and over for whom poverty status is determined -- (Estimate)
B17005e15,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months at or above poverty level:  Male:  In labor force:  Civilian population 16 years and over for whom poverty status is determined -- (Estimate)
B17005e16,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months at or above poverty level:  Male:  In labor force:  Employed:  Civilian population 16 years and over for whom poverty status is determined -- (
B17005e17,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months at or above poverty level:  Male:  In labor force:  Unemployed:  Civilian population 16 years and over for whom poverty status is determined --
B17005e18,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months at or above poverty level:  Male:  Not in labor force:  Civilian population 16 years and over for whom poverty status is determined -- (Estimat
B17005e19,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months at or above poverty level:  Female:  Civilian population 16 years and over for whom poverty status is determined -- (Estimate)
B17005e20,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months at or above poverty level:  Female:  In labor force:  Civilian population 16 years and over for whom poverty status is determined -- (Estimate)
B17005e21,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months at or above poverty level:  Female:  In labor force:  Employed:  Civilian population 16 years and over for whom poverty status is determined --
B17005e22,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months at or above poverty level:  Female:  In labor force:  Unemployed:  Civilian population 16 years and over for whom poverty status is determined
B17005e23,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS:  Income in the past 12 months at or above poverty level:  Female:  Not in labor force:  Civilian population 16 years and over for whom poverty status is determined -- (Estim
