name,description
B24031e10,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Transportation and warehousing, and utilities:  Transportation and warehousing:  Civilian employed population"
B24031e11,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Transportation and warehousing, and utilities:  Utilities:  Civilian employed population 16 years and over wit"
B24031e12,INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Information:  Civilian employed population 16 years and over with earnings -- (Estimate)
B24031e13,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Finance and insurance, and real estate and rental and leasing:  Civilian employed population 16 years and over"
B24031e14,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Finance and insurance, and real estate and rental and leasing:  Finance and insurance:  Civilian employed popu"
B24031e15,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Finance and insurance, and real estate and rental and leasing:  Real estate and rental and leasing:  Civilian"
B24031e16,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Professional, scientific, and management, and administrative and waste management services:  Civilian employed"
B24031e17,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Professional, scientific, and management, and administrative and waste management services:  Professional, sci"
B24031e18,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Professional, scientific, and management, and administrative and waste management services:  Management of com"
B24031e19,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Professional, scientific, and management, and administrative and waste management services:  Administrative an"
B24031e20,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Educational services, and health care and social assistance:  Civilian employed population 16 years and over w"
B24031e21,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Educational services, and health care and social assistance:  Educational services:  Civilian employed populat"
B24031e22,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Educational services, and health care and social assistance:  Health care and social assistance:  Civilian emp"
B24031e23,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Arts, entertainment, and recreation, and accommodations and food services:  Civilian employed population 16 ye"
B24031e24,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Arts, entertainment, and recreation, and accommodation and food services:  Arts, entertainment, and recreation"
B24031e25,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Arts, entertainment, and recreation, and accommodation and food services:  Accommodation and food services:  C"
B24031e26,INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Other services except public administration:  Civilian employed population 16 years and over with earnings --
B24031e27,INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Public administration:  Civilian employed population 16 years and over with earnings -- (Estimate)
