id,year,text,Council_District
46,2016,"Affordable housing is crucial, & keeping seniors in their homes is part of that challenge!",5
47,2016,"Affordable housing is essential to keep Austin diverse, welcoming, and growing in the ways that reflect the progressive ideals of this city and the future generations.",1
48,2016,Affordable housing is very important.,10
49,2016,Affordable housing MUST become a reality/ahora!,3
50,2016,"Affordable housing, traffic, cleaner streets/roads.",6
51,2016,Affordable housing/home prices are an issue. I will be moving as soon as son graduates from high school to a location where I can purchase a home.,5
52,2016,AGING IN AUSTIN SERVICES.,3
53,2016,AGRICULTURAL TAX BREAKS FOR BIG BUSINESS,7
54,2016,AISD is a disgrace. Everyone who can avoids enrolling their kids.,9
55,2016,All homeless issues,5
56,2016,"All of our major streets in 78723,78721 78722, -Manor RD, Berkman Dr, Cameron Rd and Springdale Rd have been reduced from 4 lanes of traffic to 2 lanes  due to bike lanes being added.  Bike lanes are not utilized enough, traffic is horrible due to influx  of new people to hour neighborhood.  With construction on 183 -traffic is worse!  Remove the bike lanes from MLK to Manor, Cameron Rd and Manor Rd to Airport.  HELP US.",1
57,2016,ALLOW AUSTIN TO STAY AUSTIN WHILE UPDATING LEAVE ROOM FOR CARS CUT ALL GRASS AT ANY INTERSECTION.,4
58,2016,ALWAYS MORE SERVICES FOR THE LOWER INCOME POPULATION.,2
59,2016,"ANYTHING TRAVLIN ON ROADWAY W/WHEELS/BIKE/SKATEBOARD, ROLLER SKATES  REQUIRED TO HAVE SOME HEADLIGHT POWERS CARS",9
60,2016,Applaud your effort to fix the traffic problem!,10
61,2016,Arch homeless shelter downtown. It's a mess over there.,3
62,2016,"As a mother of 3 young kids, this summer I discovered Austin libraries and was super impressed to find an inexpensive activity that all my kids could enjoy!",4
63,2016,"As Austin grows, remember it's roots. Not to be cliché, but Keep Austin Weird. Try to balance growth and new business, with the existing history, arts, culture, music, and awesomeness that Austin is.",9
64,2016,Austin needs to lower it's water rates,6
65,2016,"As City of Austin is growing toward the East side of the town, I would like to request the Mayor to build more Parks & Play grounds in the East side of the City. So that the new families and kids can play and socialize in the parks. Also need more Express ways in the east side running North-South to relieve the traffic congestion.",1
66,2016,"AS WE GROW PROTECT OUR WATER SUPPLY, WATERWAYS THE EDWARDS AQUIFER AND THE JEWEL IN OUR CROWN, BARTON SPRINGS ONCE THE WATER GOES THE PEOPLE GO, DON'T MESS WITH THE SPRINGS",5
67,2016,"At the beginning of every City Council meeting the members watch Milton Friedman's short you tube on ""spending other people's money"".",7
68,2016,Attract a most diverse population to Austin,7
69,2016,Austin cannot pave it's way out of traffic problems. The city needs public transit!,10
70,2016,"Austin Energy is ""tricky."" They make it hard to question a bill. ""Averaging"" instead of reading meter is dishonest & causes problems for customers.",8
71,2016,"AUSTIN ENERGY IS CRAZY EXPENSIVE DURING JUNE, JULY, I WAS TOLD WHY BUT THIS HEAT IS TOO HOT TO NOT RUN ELECTRICITY/AC 24/7",7
72,2016,"Austin energy needs to be overhauled or reviewed.  The customer service is beyond terrible, they have no explanation for why things occur, the people are rude and its a monopoly.  The increases in rates and their overall plan is ridiculous, and even though I'm a rate payer, I have no ability to change it.  Competition is needed immediately.",10
73,2016,Austin energy suck balls and use people social # and turn lights on. That's there only(security) not thinking to themselves fraud goes on a lot and I'm am a victim it. Due to the lack of security and no caring,7
74,2016,"Austin energy utility bill is undecipherable, and customer service can't explain it, either.",2
75,2016,"Austin growth is out of control - keep housing affordable, quit building condo's etc!  It's a pain to get around anymore!",8
76,2016,"Austin has become too expensive and wages have been stagnant for too long.  The only people who are able to enjoy the City are people who move here from other places that are much more affluent, but anyone who is from here is barely able to get by.  Many people are working two or more jobs to make ends meet, making it difficult to find time to take advantage of parks or pools, or any other type of recreational activity.  I think Austin provides a lot of great services but until affordability is addressed, it's hard for people to utilize them.",4
77,2016,BETTER AFFORDABLE HOMES TO LIVE IN.,3
78,2016,BETTER CITY BUS SYSTEM MORE OFTEN.,6
79,2016,Better infrastructure of roads.,3
80,2016,"Austin has not made adequate preparations for the millions of new residents to this city.  Instead, tourism is of high priority with increased funding and incentives for new hotels and out-of-state business venture capitalists.  Living on the fringe of downtown is no longer affordable and it is only a matter of time before I have to leave completely.  I am very disappointed that Austin has become the new Dallas.",3
81,2016,Austin Independent School District is terrible.  Benchmark testing does not work.  Kids only study for the test.  Don't like toll roads on top of taxes.  Austin is a good place to own a business.,5
82,2016,"Austin is a great city overall, except traffic being a big problem.",6
83,2016,"Austin is a unique city with exceptional green space in spite of its growth. Your/our challenge is to maintain that ""country"" feel while tackling one our biggest problems which is transportation/traffic. Best of luck to us all in succeeding!",6
84,2016,Austin is a wonderful place to live except of course the traffic. I would like to see ride sharing come back to Austin (almost $50 taxi ride round trip to downtown from 6 mile out is a bit much). Unfortunately with all the people moving to town the traffic is not going to get better. I know that mass transit is doing all that they can to reduce the amount of cars on the road. Maybe reducing the price on the toll roads would help.,3
85,2016,"AUSTIN IS AMAZING, PLEASE KEEP UP THE GOOD JOB, SAFETY & WEIRDNESS IS A GOOD THING.",5
86,2016,Austin is not affordable. Traffic is horrible and makes it hard to enjoy the city. Austin nites stay home to avoid tourists. Our city is held hostage by visitors and newcomers.,2
87,2016,Austin need improved transportation infrastructure to alleviate current traffic and accommodate rapid population growth.,6
88,2016,Austin needs fields for sports!,7
89,2016,"Austin needs help with pan handling, etc.",1
90,2016,Austin needs more affordable housing in all parts of our city.,8
91,2016,Austin needs to focus on affordable housing for all residents.,3
92,2016,BETTER PLAN FOR GROWTH BEFORE BRINGING IN NEW BUSINESSES.,2
93,2016,Austin needs to prioritize creative and innovative ways at pubic transit vs. just widening highways,5
94,2016,Austin needs to provide better services to the homeless so that they aren't begging on literally every corner in town. Or enforce the no camping/loitering ordinances. The litter from these folks is getting overwhelming.,7
95,2016,AUSTIN POLICE FAILS TO HELP UNLESS IT IS A MAJOR CRIME.,10
96,2016,AUSTIN POSTAL SERVICES NEEDS TO BE AUDIT AND OFFER BETTER CUSTOMER SERVICE TO OUR LOCAL RESIDENTS.,2
97,2016,"Austin should be pro-growth.  Fix the major corridors (183/360/Mopac) and fix the development review/permitting/inspection department; simplify it and eliminate city staff; outsource to third party inspectors, architects, etc.",10
98,2016,"Austin should use dedicated bus lanes and bicycle lanes like Atlanta, Georgia and solve traffic issues.",10
99,2016,Austin sucks at executing plans. Make some decisions & implement them (e.g. code next).,9
100,2016,Austin Traffic &  Too many cars on roads. Rebuild IH-35!...Major highway IH-35 needs a big over-haul!!,5
101,2016,Austin traffic (especially the morning commute) needs help!,8
102,2016,Austin Utility Services need an overhaul-especially water/wastewater.  The billing for water/wastewater usage is confusing and way too expensive.  Both electric and water bills at times are so high that it is over half of what I pay on my home mortgage.  That just isn't right.  People living in Austin deserve better than this.  Water bills are way out of control....,8
103,2016,BAD TRAFFIC. MULTI HOME DWELLINGS TOO MANY!,9
104,2016,Based on the questions in the survey it appears that Austin provides a lot of programs to residents.  I am sorry I did not/do not know more about them to take advantage of all the benefits Austin has to offer besides the city and people,3
105,2016,Be factual & objective when reviewing and approving road & development projects. It is embarrassing the politics that have been played in approval of the Grove Project. The Grove will enhance our neighborhood & will be a significant enhancement to the quality of life in central Austin.,7
106,2016,Be frugal and responsible with everything. Simplify wherever possible.,7
107,2016,"Be good, do good, feel good.",5
108,2016,"BE MORE CREATIVE WITH TRANSPORTATION . PUBLIC MASS TRANSIT,HOV,BIKE LANES AND WALKABLE NEIGHBORHOODS.",9
109,2016,Be more proactive in city planning and development.,1
110,2016,Be true to the people of Austin. We need more affordable housing and better highways through Austin.,1
111,2016,Be true to yourself and to the people,3
112,2016,"Beautiful City, plenty of things to do.",7
113,2016,"Before focusing on bringing more people to this city, upgrade the roads to what it should be 20 years after its complete. This way Austin could host all these events that we are passed over, because of our lacking roads and parking. Hotels are gaining more rooms. Now we should be know for music and great people. Not for traffic and the hassle to get around in Austin.",5
114,2016,BEING THAT I AM NOT A PERMANENT RESIDENT I WOULD LIKE TO SPEAK WITH THE MAYOR OF THE CITY IN PERSON.,2
115,2016,Better infrastructure to keep hwy moving and keep up with demand. lyft and uber needed. Ridiculous that it's not here.,8
116,2016,Better local transportation including ride share companies as reasonable options.,6
117,2016,BETTER LONG RANGE PLANNING ON TRAFFIC FLOW.,1
118,2016,BETTER MAINTENANCE OF GREENBELT AND OTHER TRAIL SYSTEMS. TOO MUCH OVER GROWTH RELIES ON PUBLIC USER MAINTENANCE.,9
119,2016,Better management of police department.,4
120,2016,Better pedestrian and biking lifestyle options.,9
121,2016,BETTER PLANNING. WHEN VISITING IN A CITY FOR RESEARCH IN TO TRANSPORTATION MAKE SURE THEY HAVE THE SAME CLIMATE.,8
122,2016,Better public pools and more splash pads.,2
123,2016,Better public transportation.,3
124,2016,Better public transportation. A central rail line would be wonderful. And shower facilities throughout the city for bicycle commuters.,9
125,2016,better relations with Cops to the community,5
126,2016,BETTER RIDE SHARING OPTIONS. PLEASE LET UBER AND LYFT COME BACK.,5
127,2016,"Better road surfaces, too many ""pot holes""!",2
128,2016,Better roads and more locations for kids in area.,4
129,2016,better strategies/actions to deal effectively with out of control growth.  the current pace of growth of the city is unsustainable for natural resources.,9
130,2016,"Better streets, really.",9
131,2016,"Better streets, too many potholes.",4
132,2016,Better traffic flow and traffic light timing.,6
133,2016,Better traffic flow. Traffic is horrible in Austin!,8
134,2016,"Better training for the 3-1-1 operators.  My experience with them is they will say almost anything to make the caller happy.  I called four times concerning an error by the waste disposal folks, and each time I was promised action within 24 hours.  On the 4th call, the 3-1-1- operator gave me the cell phone number for the waste management departmental manager and told me to talk to them directly.  Too much bureaucratic CYA and too little real service.  Very disappointing considering the monthly fees the City of Austin collects.",10
135,2016,Better training of utility employees!!!,6
136,2016,"BETTER TRANSPORTATION OPTIONS, GET UBER/LUFT BACK",10
137,2016,"BETTER UNDERSTANDING OF CODE COMPLIANCE REGS AND LESS BULLYING BY CODE OFFICER, SPREADING KNOWLEDGE NOT FEAR AND OT TATTLING",1
138,2016,BIG HOMELESS POPULATION. WHAT CAN WE DO TO HELP?,2
139,2016,Bike access.,4
140,2016,BIKE LANES DO NOT HELP TRAFFIC. NO ONE USES THEM.,4
141,2016,BIKE LANES HURT TRAFFIC.,6
142,2016,Billing for water and electric service has been problematic in the past few years.,5
143,2016,Bless you mayor!,7
144,2016,"Board of Adjustment should not be redesigning projects, only rule on go/no go!!!",7
145,2016,BOND PACKAGE FOR RAIL AND REMOVE RESTRICTIONS ON UBER. IMPROVE TRANSPORTATION.,10
146,2016,"Bring back more social services, providing jobs/careers, not in service industry.",10
147,2016,BRING BACK UBER AND LYFT WE REALLY NEED IT!,4
148,2016,Bring back Uber and Lyft!,5
149,2016,Bring back Uber and LYFT! Pretty please.,2
150,2016,Bring back Uber and Lyft.,2
151,2016,BRING BACK UBER SERVICES ASAP.,8
152,2016,Bring back Uber!,4
153,2016,Bring back uber! Bus drivers constantly pull out from curb without an regard for traffic! Stricter laws for cyclists in traffic,9
154,2016,Bring back uber.  Fix the highways.,1
155,2016,Bring back Uber. Get rid of the homeless.,5
156,2016,BRING UBER & LYFT BACK,4
157,2016,Bring Uber back and stop taxing for people for renting out their homes for a week.,10
158,2016,Bring Uber back!,7
159,2016,Bring UBER BACK!!,5
160,2016,"BRING UBER BACK. EMBARRASSING ITS NOT IN AUSTIN, BEEN MAJOR INCONVENIENCE TOUR FRIENDS/FAMILY/NEIGHBORS",9
161,2016,Bring Uber/Lyft back and lower taxes. Hard to afford Austin.,7
162,2016,BUILD MORE AFFORDABLY HOUSING,7
163,2016,BUILD NON TOLL ROADS,7
164,2016,BUILD SUBWAY RAIL SYSTEM.,10
165,2016,Bullet train between Austin and Houston/Dallas/SA.,10
166,2016,Bury I-35 downtown!,1
167,2016,BUSINESS (LARGE) SHOULD PAY A FAIR SHARE FOR SERVICES,3
168,2016,Buying a home in S Austin is prohibitive.  Prices are ridiculous!,5
169,2016,"Can we have a better way to get to the airport? Please consider extending the Metrorail line to the airport. It would be good for tourism, businesses and the frequent flying Austinites.",6
170,2016,Can you please get someone to fix potholes (on) South 1st?,3
171,2016,"Capital Metro is missing out on the opportunity to fully electrify the fleet of buses.  Also the service range, coverage and frequency is completely inadequate.
Many people would use the service if the frequency, cleanliness, WiFi and safety were insured for Public Transportation network.  Multiple bus sizes should be deployed, 
fully electric, and set a national standard for sustainability.  A declaration of ""Net Zero"" by 2050 is meaningless if Public Transport continues to languish with dinosaur, loud, polluting diesel buses which continue to be deployed.  12 cities in the USA have decided to go 100% electric-- yet somehow Austin escapes this opportunity-- but loves to self congratulate on how ""green"" and sustainable we are.  Big disconnect.",4
172,2016,CENTRAL FOCUL POINT FOR TRACKING ALL HELO DO NEEDED,8
173,2016,"Chalmers courts is a Horrible place. Police does very random checks and once they leave cars come and go there has been people that live there who walk their dogs and let them do their necessity's without them cleaning right by my house. I've called 311 they suggested I call the apartment office, when I called them the lady who answered said I cant do anything about it and hung up. Called 911 and its like I spoke to the tree, nothing has been done to stop the selling of drugs in the area.",3
174,2016,Change city law so any city or elected official with a direct or indirect interest in an issue must rescue and not vote.,9
175,2016,"Change traffic signals so pedestrians crossing streets can all go at the same time, then cars. So many times cars can't turn because pedestrians are crossing.",10
176,2016,CHILDREN PEDESTRIAN SAFETY NEEDS TO BE ADDRESSED AROUND SCHOOLS.,10
177,2016,city communication acts as the trail that wags the dog,10
178,2016,CITY COUNCIL BE MORE OPEN TO NEW IDEAS SO WE CAN KEEP UP IN THE WORLD.,6
179,2016,CITY COUNCIL IS TOO LIBERAL AS A WHOLE.,6
180,2016,CITY DEVELOPMENT ARE TERRIBLE AND AWFUL.,10
181,2016,City hall & transparency--more of it.,6
182,2016,CITY IS REGULATING FAR TOO MUCH.,5
183,2016,"CITY IS TOO EASY ON CONTRACTORS  WHO ARE ALLOWED PARTIAL USE OF STREETS DURING CONSTRUCTION PROJECTS. PROJECTS TAKE TOO LONG TO COMPLETE AND CAUSE A LOT OF UNNECESSIARY CONGESTION. BE JUDICIOUS IN ALLOWING USE OF CITY STREETS FOR CONSTRUCTION, MONITOR TRAFFIC CONGESTION AT CONSTRUCTION SITES",6
184,2016,CITY MAINTENANCE NEEDS TO BE EQUAL IN LOW INCOME COMPARED TO HIGHER INCOME AREAS.,2
185,2016,CITY MANAGERS ARE OVER COMPENSATED AND MAKING AUSTIN UNAFFORDABLE TO MIDDLE CLASS.,3
186,2016,"City needs to plan for growth better, roads aren't big enough.",9
187,2016,"City of Austin is a great place to live compared to other places. Sure there's always room for improvement, but still a great place.",6
188,2016,CITY OF AUSTIN IS FINE.,4
189,2016,City of Austin Water/Wastewater bills need to be read more accurately.,8
190,2016,"City planning - allowing developers to buy houses only to tear them down and building houses that are disproportionate in size to other houses in the area, building multiple houses on one lot, building houses that don't maintain the ""look"" the neighborhood.",1
191,2016,"City programs , bonds, etc. should serve all citizens, not just a few.",1
192,2016,City residents and local businesses have to be a priority over big money corporate lobbyist,8
193,2016,"City services (water, streets, electric) are outstanding!!  
Building permit is an unbelievable NUGHTMARE!!!",1
194,2016,City services.,10
195,2016,"City should acquire park land when available rather than giving it to developers (i.e. The Grove, MUNY).  Look at Central Park in NYC.",10
196,2016,City should recycle mole and also annex Sunfield community.,5
197,2016,City staff pursue their own agenda and must be reigned in!,10
198,2016,City streets/sidewalks need to be drivable/walkable and mowed regularly.,10
199,2016,City traffic is terrible.,5
200,2016,City utility rates are ridiculously high.,2
201,2016,City wide planning pertaining to infrastructure.,5
202,2016,CLEAN BETTER CUT TREES.,3
203,2016,Clean the streets. Remove peddlers at traffic lights and fix traffic problems. Thank you.,4
204,2016,CLEAN UP HOMELESS FROM DOWNTOWN,5
205,2016,"Clean up the creeks and streams !  If the storm water was allowed to flow unobstructed, there would be less flooding.  The water shed department is fat and lazy, They do not tell the truth to council and the taxpayers.",5
206,2016,Clean up the homeless population downtown! I don't feel safe going to work!,2
207,2016,Clean up the number of homeless in the city and on 6th Street!,9
208,2016,Clean up the trash and mow the toll grass.,7
209,2016,"Close the doors, back and front and sideways.",2
210,2016,Close the exit s on Highway 35 from the river to the upper level. And from the upper level to the river. Very bad .,4
211,2016,"Closing Zilker Park for long stretches of time for ACL etc needs to be addressed.
Plenty of folks who can't afford or don't like large shows are denied use of Austins crown jewel of parks",6
212,2016,Code issues are hurting the city.,10
213,2016,COMMERCIAL PERMIT REVIEW AND APPROVAL IS TERRIBLE.,7
214,2016,COMPACT ENOUGH TO SUPPORT LIGHT RAIL. GET TRAFFIC LIGHTS OFF 360 MAKE DEVELOPMENT PAY FOR ITSELF. STOP RAISING TAXES.,8
215,2016,Completely dissatisfied with the city's Department of Planning and Development's handling of the Life Austin Development!,8
216,2016,Concentrate on automobile traffic. Bicycles are not a solution to reducing congestion and improving travel in this city. Bicycle lanes have negatively impacted travel and safety in this city.,10
217,2016,"Concentrate on maintaining our safety (Police, Fire, and EMS) , establishing a solid & scalable infrastructure (roads, bridges, rail, etc.), and less regulation for the sake of regulation - ex: Uber/Lyft have more safety for driver & rider built-into their business-model & app's than anything the City of Austin can do yet city wants a 'piece of the pie' - the city should be working with companies and community to eliminate barriers rather than creating more barriers.",6
218,2016,Concentrate on traffic concerns/in-city mobility.,5
219,2016,CONGRATS ON THE UBER LYFT BATTLE! WE NEED WAYS TO MAKE THE CITY MORE AFFORDABLE FOR LONG TIME RESIDENTS.,9
220,2016,CONSERVATION OF WATER AND PROVIDE GREEN SPACE,9
221,2016,CONSIDER BETTER DEVELOPED BIKE LANES THROUGHOUT THE CITY. LANES THAT ARE PROTECTED FROM CARS.,2
222,2016,CRIME IS ON THE INCREASE. SO IS ABUSIVE POLICEMEN.,10
223,2016,CONSIDER OFFERING INCENTIVES TO THE OWNERS OF MOBILE HOME COMMUNITIES.,1
224,2016,"Consider the financial impact of the ever rising tax burden on the middle class citizens, before any future budgetary outlays are agreed upon.",6
225,2016,Continue pressing hard on transportation and affordability measures.,10
226,2016,Continue to be unified--no race issues! Austin is the capital of Texas and should be a role model for other states to see that we can work together.,7
227,2016,"Continue to support and promote thoughtful development in our neighborhood! (North East Austin), and focus on Austin public schools. Thanks!",4
228,2016,Continue to try to acquire more funds for the city for our mobility issues.  The city tends to try to fix highway issues after the city has expanded/businesses built.  Look into providing more highways or upgrading roads before the traffic issue becomes a problem.,5
229,2016,CONTINUED SUPPORT FOR N HOOD PARKS AND POOLS. THEY BUILD COMMUNITY AND GIVE KIDS OPTIONS TO TROUBLE MAKING.,1
230,2016,CONTROL AND PLAN GROWTH WITH REGARD TO WATER AND INFRASTRUCTURE.,9
231,2016,CONTROL BETTER NEW DEVELOPMENTS OF HOUSING,5
232,2016,"CONTROL DEVELOPMENT, AUSTIN IS BEING OVERPOPULATED, YOU CAN'T FIX THE HORRIBLE TRAFFIC PROBLEMS BY CONTINUING TO BUILD",2
233,2016,Control of short term rentals,9
234,2016,CONTROL PROPERTY TAXES TOO HIGH,3
235,2016,CONTROL SPENDING,9
236,2016,CONTROLLED LIMITED GROWTH AND DEVELOPMENT. OR QUIT TALKING ABOUT TRAFFIC.,1
237,2016,Cool weather in summer. Ha! Ha!,10
238,2016,Cost of electricity and traffic congestion.,10
239,2016,"Cost of housing, taxes, utilities are killing everything that was good about Austin. Please help stop this madness.",7
240,2016,Cost of housing.,7
241,2016,Cost of living (housing) more expensive than Chicago & traffic is worse. Already considering moving.,3
242,2016,Cost of living here is to high & tax for my home is to high.,5
243,2016,COST OF LIVING IN AUSTIN IS RUNNING PEOPLE OUT OF TOWN,4
244,2016,"Cost of living is too high here in Austin from taxes. Stop paying out to families millions of dollars who don't deserve it. Update the infrastructure here in Austin, it's too old for the amount of new buildings being built here in Austin.",6
245,2016,cost of living vs. average income,5
246,2016,COST OF UTILITIES IS VERY HIGH,10
247,2016,"Cost of water and electricity , too high.",7
248,2016,Done vivo  hay muchas rates y les e llamado muchas vacates y no haven in case y tambien les e llamado y no vienen a cortar la maleza que tengo de tras de mi casa que pertenece a  la ciudad en mi casa tengo tambien serpientes y otra clase de animales y tampoco me han hecho caso quando los e llamado Como pensan que teng que estar muy contenta?,1
249,2016,Fix residential building permit process.,5
250,2016,"Cost, waste,, us taxpayers a lot. Your conservation programs take our money and give it back to us and raising our cost of utilities and taxes. That goes for wind and solar programs too, they are not cost effective, result in more even more pollution.  your garbage program is a real costly program. You have to realize any time you raise my cost you are doing me a real disservice. Bike lanes are also another high cost item. Spend ,spend is all you know, we can not throw money at every problem.",10
251,2016,Costs of energy are ridiculously high. Austin Energy has made countless errors historically and the people are growing more suspicious the higher we are paying for service.,8
252,2016,Courts and road ways,6
253,2016,create 2 or 3 major roads east/west between 183 & 71 between mopac and i-35 and beyond,6
254,2016,"CREATE A BIKE PATH, NETWORK ONLINE TO DENVER CO, BOULDER CO AND SEATTLE WA",3
255,2016,Create more open spaces for public concerts.,1
256,2016,"Create separate building permit for ""owner occupied"" remodel/renovated that helps individuals meet permit requirements.",8
257,2016,CREDIT HOME TAX FOR PRIVATE EDUCATION EXPENSES.,10
258,2016,Curbside recycling service should be more frequent to promote more recycling.,1
259,2016,CUT AND CLEAN THESE BRIDGES STREETS UP THEY ARE A MESS. CITY IS SO MUCH SLACKING STREETS LOOK BAD.,1
260,2016,Deal with the flood areas in Onion Creek so we don't get flooded again for the third time!!!,5
261,2016,Deal with traffic!!,4
262,2016,DEAL WITH TRAFFIC. HOW ABOUT GIVING SEMI TRUCKS FEE TOLLS ON I-30 TO GET THEM OFF I-35.,6
263,2016,"Decrease taxes, electricity and implement ordinance to register (charge) bicycles for taking up street lanes.",1
264,2016,"Democratic traffic, zoning and planning process",7
265,2016,Develop a Personal Mass Transit (PMT) system to help alleviate automobile congestion on I35 and Mopac,6
266,2016,DEVELOP DEDICATED BUS OR RAIL SERVICE TO AIRPORT,4
267,2016,Develop public transportation network.,10
268,2016,"DEVELOP REALISTIC PLAN FOR PUBLIC TRANSPORTATION. TRAIN,SUBWAY AND MONORAIL.",10
269,2016,Develop subway/el train system. I would pay $160/month for a system like DC's or New York and stop being a sanctuary city.,2
270,2016,"Develop the Metrorail! On MOPAC/183/I-35, add train tracks!",6
271,2016,DEVELOPING OF GREENERY AREAS AND MORE PARKS.,4
272,2016,DEVELOPMENT SHOULD NOT DISPLACE LOW INCOME FAMILIES.,5
273,2016,Disable wish they could afford own home.,7
274,2016,DISABLED VETS SHOULD HAVE FREE ACCESS TO EXPRESS LANES,7
275,2016,DISAPPOINTED PEOPLE THAT ALREADY WORK FOR THE CITY INSTEAD OF ALWAYS SPENDING MONEY ON CONSULTANTS. KEEP THE CITY AFFORDABLE.,1
276,2016,DISAPPOINTMENT WITH HOW DIRTY THE ROADS ARE. HOW RUN DOWN STREETS AND SIDEWALKS ARE.,3
277,2016,Discuss the need for either more/better roads and public transportation.,5
278,2016,"Diversify the economy away from hi tech, hi wage... stop corporate welfare for wealthy tech. companies",7
279,2016,Diversity,9
280,2016,Do not allow anyone with a vested interest in real estate to hold public office.,6
281,2016,Do not let the waste department lie to the public.,6
282,2016,DO NOT LET THEM DEVELOP THE LAND THAT LIONS MUNICIPAL COURSE IS ON. SORRY TO SEE IT CLOSED.,10
283,2016,DO NOT PASS ORDINANCES THAT YOU CANNOT ENFORCE.,4
284,2016,"Do not put ($750 million?) for streets, etc on November ballot. Separate proposal for each need. No one large sum - I will not vote for that.",8
285,2016,DO NOT SUPPORT DONALD TRUMP.,9
286,2016,Do something about traffic...,3
287,2016,"Do something productive for areas outside of downtown, perhaps Northwest Austin.  Very disappointed with the Mayor and current City Counsel.",10
288,2016,DO SOMETHING REALLY CONSTRUCTIVE REGARDING TRAFFIC AND AFFORDABILITY.,8
289,2016,Do something to change the fact that Austin is becoming too expensive to reside in,4
290,2016,Do something to increase diversity here.,1
