product,supplier,capacity
Product_0097,S4,9815
Product_0098,S1,194048
Product_0098,S2,138466
Product_0098,S3,182672
Product_0098,S4,188546
Product_0099,S1,19390
Product_0099,S2,18458
Product_0099,S3,17633
Product_0099,S4,17840
Product_0101,S1,3387
Product_0101,S2,2997
Product_0101,S3,2989
Product_0101,S4,3600
Product_0102,S1,6
Product_0102,S2,6
Product_0102,S3,5
Product_0102,S4,7
Product_0103,S1,19
Product_0103,S2,25
Product_0103,S3,24
Product_0103,S4,19
Product_0104,S1,69
Product_0104,S2,74
Product_0104,S3,63
Product_0104,S4,69
Product_0105,S1,1208
Product_0105,S2,1058
Product_0105,S3,1103
Product_0105,S4,1286
Product_0107,S1,6218
Product_0107,S2,5690
Product_0107,S3,5088
Product_0107,S4,4601
Product_0108,S1,242311
Product_0108,S2,259513
Product_0108,S3,184527
Product_0108,S4,287443
Product_0109,S1,161627
Product_0109,S2,157485
Product_0109,S3,165918
Product_0109,S4,163795
Product_0110,S1,1153
Product_0110,S2,1680
Product_0110,S3,1342
Product_0110,S4,1259
Product_0111,S1,801
Product_0111,S2,582
Product_0111,S3,593
Product_0111,S4,793
Product_0113,S1,37
Product_0113,S2,30
Product_0113,S3,46
Product_0113,S4,32
Product_0114,S1,31
Product_0114,S2,42
Product_0114,S3,35
Product_0114,S4,30
Product_0115,S1,804
Product_0115,S2,1039
Product_0115,S3,729
Product_0115,S4,917
Product_0116,S1,67
Product_0116,S2,67
Product_0116,S3,70
Product_0116,S4,49
Product_0117,S1,127
Product_0117,S2,162
Product_0117,S3,181
Product_0117,S4,114
Product_0118,S1,45
Product_0118,S2,55
Product_0118,S3,62
Product_0118,S4,59
Product_0119,S1,12
Product_0119,S2,10
Product_0119,S3,11
Product_0119,S4,12
Product_0124,S1,44
Product_0124,S2,31
Product_0124,S3,44
Product_0124,S4,32
Product_0125,S1,2
Product_0125,S2,2
Product_0125,S3,2
Product_0125,S4,2
Product_0126,S1,8071
Product_0126,S2,9203
Product_0126,S3,8305
Product_0126,S4,6786
Product_0127,S1,5401
Product_0127,S2,5727
Product_0127,S3,7326
Product_0127,S4,5742
Product_0128,S1,16629
Product_0128,S2,21457
Product_0128,S3,17961
Product_0128,S4,18945
Product_0129,S1,1174
Product_0129,S2,1194
Product_0129,S3,1498
Product_0129,S4,1414
Product_0130,S1,6
Product_0130,S2,9
Product_0130,S3,7
Product_0130,S4,6
Product_0138,S1,3521
Product_0138,S2,3593
Product_0138,S3,3557
Product_0138,S4,3824
Product_0139,S1,212
Product_0139,S2,255
Product_0139,S3,274
Product_0139,S4,211
Product_0140,S1,1402
Product_0140,S2,1211
Product_0140,S3,1381
Product_0140,S4,1416
Product_0141,S1,1239
Product_0141,S2,1243
Product_0141,S3,1259
Product_0141,S4,1292
Product_0142,S1,39
Product_0142,S2,34
Product_0142,S3,36
Product_0142,S4,31
Product_0150,S1,5
Product_0150,S2,5
Product_0150,S3,7
Product_0150,S4,7
Product_0152,S1,6
Product_0152,S2,5
Product_0152,S3,5
Product_0152,S4,5
Product_0156,S1,33
Product_0156,S2,29
Product_0156,S3,25
Product_0156,S4,32
Product_0157,S1,6
Product_0157,S2,6
Product_0157,S3,5
Product_0157,S4,5
Product_0158,S1,98
Product_0158,S2,111
Product_0158,S3,94
Product_0158,S4,104
Product_0159,S1,166
Product_0159,S2,212
Product_0159,S3,175
Product_0159,S4,180
Product_0160,S1,5
Product_0160,S2,7
Product_0160,S3,5
Product_0160,S4,6
Product_0161,S1,688
Product_0161,S2,968
Product_0161,S3,827
Product_0161,S4,874
Product_0163,S1,92
Product_0163,S2,94
Product_0163,S3,70
Product_0163,S4,96
Product_0164,S1,1
Product_0164,S2,1
Product_0164,S3,1
Product_0164,S4,1
Product_0165,S1,1
Product_0165,S2,1
Product_0165,S3,1
Product_0165,S4,1
Product_0167,S1,190
Product_0167,S2,147
Product_0167,S3,205
Product_0167,S4,180
Product_0168,S1,21
Product_0168,S2,22
Product_0168,S3,26
Product_0168,S4,26
Product_0170,S1,65
Product_0170,S2,67
Product_0170,S3,58
Product_0170,S4,62
Product_0172,S1,48
Product_0172,S2,62
Product_0172,S3,45
Product_0172,S4,45
Product_0173,S1,32
Product_0173,S2,29
Product_0173,S3,24
Product_0173,S4,32
Product_0174,S1,906
Product_0174,S2,770
Product_0174,S3,935
Product_0174,S4,947
Product_0175,S1,1115
Product_0175,S2,751
Product_0175,S3,1155
Product_0175,S4,1118
Product_0176,S1,160
Product_0176,S2,234
Product_0176,S3,228
Product_0176,S4,223
Product_0177,S1,567
Product_0177,S2,802
Product_0177,S3,646
Product_0177,S4,542
Product_0178,S1,1017
Product_0178,S2,976
Product_0178,S3,875
Product_0178,S4,1279
Product_0179,S1,3365
Product_0179,S2,2268
Product_0179,S3,2060
Product_0179,S4,3045
Product_0180,S1,252
Product_0180,S2,218
Product_0180,S3,241
Product_0180,S4,280
Product_0181,S1,585
Product_0181,S2,441
Product_0181,S3,415
Product_0181,S4,428
Product_0182,S1,6
Product_0182,S2,7
Product_0182,S3,5
Product_0182,S4,6
Product_0183,S1,7547
Product_0183,S2,9834
Product_0183,S3,10247
Product_0183,S4,11842
Product_0184,S1,536
Product_0184,S2,664
Product_0184,S3,676
Product_0184,S4,589
Product_0185,S1,782
Product_0185,S2,719
Product_0185,S3,997
Product_0185,S4,832
Product_0186,S1,1038
Product_0186,S2,1038
Product_0186,S3,1031
Product_0186,S4,1019
Product_0187,S1,83
Product_0187,S2,84
Product_0187,S3,102
Product_0187,S4,100
Product_0188,S1,1359
Product_0188,S2,1224
Product_0188,S3,1163
Product_0188,S4,1266
Product_0196,S1,1436
Product_0196,S2,1395
Product_0196,S3,1832
Product_0196,S4,1619
Product_0197,S1,2276
Product_0197,S2,1458
Product_0197,S3,2112
Product_0197,S4,2230
Product_0198,S1,5
Product_0198,S2,7
Product_0198,S3,6
Product_0198,S4,8
Product_0199,S1,176
Product_0199,S2,149
Product_0199,S3,207
Product_0199,S4,222
Product_0200,S1,1785
Product_0200,S2,1450
Product_0200,S3,1801
Product_0200,S4,1421
Product_0206,S1,136
Product_0206,S2,140
Product_0206,S3,156
Product_0206,S4,158
Product_0214,S1,6778
Product_0214,S2,5007
Product_0214,S3,8205
Product_0214,S4,5692
Product_0215,S1,1016
Product_0215,S2,1121
Product_0215,S3,1369
Product_0215,S4,1333
Product_0216,S1,2
Product_0216,S2,2
Product_0216,S3,2
Product_0216,S4,2
Product_0217,S1,1099
Product_0217,S2,747
Product_0217,S3,1023
Product_0217,S4,855
Product_0218,S1,206
Product_0218,S2,286
Product_0218,S3,274
Product_0218,S4,246
Product_0219,S1,4157
Product_0219,S2,3739
Product_0219,S3,5574
Product_0219,S4,3759
Product_0220,S1,27
Product_0220,S2,31
Product_0220,S3,24
Product_0220,S4,30
Product_0221,S1,1656
Product_0221,S2,1646
Product_0221,S3,1323
Product_0221,S4,1784
Product_0222,S1,491
Product_0222,S2,636
Product_0222,S3,570
Product_0222,S4,575
Product_0223,S1,572
Product_0223,S2,538
Product_0223,S3,423
Product_0223,S4,380
Product_0224,S1,135
Product_0224,S2,138
Product_0224,S3,132
Product_0224,S4,167
Product_0225,S1,158
Product_0225,S2,139
Product_0225,S3,150
Product_0225,S4,131
Product_0226,S1,1318
Product_0226,S2,1187
Product_0226,S3,1381
Product_0226,S4,1142
Product_0227,S1,457
Product_0227,S2,337
Product_0227,S3,419
Product_0227,S4,450
Product_0228,S1,969
Product_0228,S2,868
Product_0228,S3,893
Product_0228,S4,834
Product_0229,S1,64
Product_0229,S2,69
Product_0229,S3,70
Product_0229,S4,46
Product_0230,S1,170
Product_0230,S2,183
Product_0230,S3,212
Product_0230,S4,223
Product_0231,S1,9
Product_0231,S2,10
Product_0231,S3,8
Product_0231,S4,9
Product_0232,S1,35
Product_0232,S2,30
Product_0232,S3,27
Product_0232,S4,25
Product_0233,S1,33
Product_0233,S2,30
Product_0233,S3,24
Product_0233,S4,33
Product_0234,S1,5
Product_0234,S2,4
Product_0234,S3,5
Product_0234,S4,4
Product_0235,S1,21
Product_0235,S2,16
Product_0235,S3,19
Product_0235,S4,14
Product_0236,S1,75
Product_0236,S2,72
Product_0236,S3,75
Product_0236,S4,49
Product_0237,S1,27
Product_0237,S2,35
Product_0237,S3,35
Product_0237,S4,30
Product_0238,S1,5
Product_0238,S2,5
Product_0238,S3,6
Product_0238,S4,5
Product_0239,S1,23
Product_0239,S2,18
Product_0239,S3,17
Product_0239,S4,17
Product_0240,S1,10
Product_0240,S2,10
Product_0240,S3,7
Product_0240,S4,7
Product_0241,S1,169
Product_0241,S2,163
Product_0241,S3,164
Product_0241,S4,167
Product_0242,S1,45
Product_0242,S2,48
Product_0242,S3,41
Product_0242,S4,34
Product_0243,S1,2317
Product_0243,S2,1923
Product_0243,S3,2655
Product_0243,S4,2546
Product_0244,S1,24
Product_0244,S2,36
Product_0244,S3,28
Product_0244,S4,25
Product_0248,S1,479
Product_0248,S2,376
Product_0248,S3,385
Product_0248,S4,466
Product_0249,S1,200
Product_0249,S2,199
Product_0249,S3,204
Product_0249,S4,168
Product_0250,S1,1494
Product_0250,S2,1039
Product_0250,S3,1285
Product_0250,S4,1682
Product_0251,S1,53
Product_0251,S2,61
Product_0251,S3,50
Product_0251,S4,63
Product_0252,S1,2
Product_0252,S2,2
Product_0252,S3,2
Product_0252,S4,2
Product_0253,S1,699
Product_0253,S2,668
Product_0253,S3,573
Product_0253,S4,484
Product_0254,S1,4
Product_0254,S2,3
Product_0254,S3,4
Product_0254,S4,4
Product_0255,S1,668
Product_0255,S2,756
Product_0255,S3,623
Product_0255,S4,939
Product_0256,S1,79
Product_0256,S2,87
Product_0256,S3,98
Product_0256,S4,73
Product_0257,S1,3
Product_0257,S2,4
Product_0257,S3,4
Product_0257,S4,3
Product_0258,S1,4
Product_0258,S2,4
Product_0258,S3,3
Product_0258,S4,4
Product_0259,S1,4
Product_0259,S2,4
Product_0259,S3,4
Product_0259,S4,3
Product_0260,S1,38
Product_0260,S2,42
Product_0260,S3,55
Product_0260,S4,34
Product_0261,S1,1
Product_0261,S2,1
Product_0261,S3,1
Product_0261,S4,1
Product_0262,S1,61
Product_0262,S2,82
Product_0262,S3,73
Product_0262,S4,79
Product_0263,S1,2
Product_0263,S2,2
Product_0263,S3,2
Product_0263,S4,2
Product_0264,S1,5
Product_0264,S2,5
Product_0264,S3,7
Product_0264,S4,6
Product_0265,S1,6
Product_0265,S2,4
Product_0265,S3,5
Product_0265,S4,6
Product_0266,S1,3
Product_0266,S2,2
Product_0266,S3,3
Product_0266,S4,3
Product_0267,S1,11
Product_0267,S2,15
Product_0267,S3,16
Product_0267,S4,15
Product_0268,S1,1
Product_0268,S2,1
Product_0268,S3,1
Product_0268,S4,1
Product_0269,S1,12
Product_0269,S2,12
Product_0269,S3,10
Product_0269,S4,12
Product_0270,S1,2
Product_0270,S2,2
Product_0270,S3,2
Product_0270,S4,2
Product_0271,S1,15
Product_0271,S2,15
Product_0271,S3,19
Product_0271,S4,22
Product_0273,S1,3834
Product_0273,S2,3218
Product_0273,S3,2557
Product_0273,S4,3800
Product_0275,S1,2733
Product_0275,S2,2387
Product_0275,S3,3523
Product_0275,S4,3017
Product_0276,S1,1378
Product_0276,S2,1986
Product_0276,S3,2021
Product_0276,S4,1754
Product_0277,S1,1252
Product_0277,S2,1407
Product_0277,S3,1199
Product_0277,S4,1700
Product_0278,S1,228
Product_0278,S2,246
Product_0278,S3,347
Product_0278,S4,311
Product_0279,S1,35
Product_0279,S2,27
Product_0279,S3,22
Product_0279,S4,29
Product_0280,S1,326
Product_0280,S2,285
Product_0280,S3,374
Product_0280,S4,327
Product_0281,S1,149
Product_0281,S2,144
Product_0281,S3,158
Product_0281,S4,142
Product_0282,S1,242
Product_0282,S2,216
Product_0282,S3,256
Product_0282,S4,161
Product_0283,S1,4
Product_0283,S2,5
Product_0283,S3,5
Product_0283,S4,5
Product_0284,S1,307
Product_0284,S2,338
Product_0284,S3,335
Product_0284,S4,247
Product_0285,S1,534
Product_0285,S2,810
Product_0285,S3,589
Product_0285,S4,765
Product_0286,S1,787
Product_0286,S2,576
Product_0286,S3,832
Product_0286,S4,836
Product_0287,S1,7918
Product_0287,S2,6507
Product_0287,S3,6451
Product_0287,S4,5304
Product_0288,S1,1050
Product_0288,S2,853
Product_0288,S3,780
Product_0288,S4,772
Product_0289,S1,250
Product_0289,S2,253
Product_0289,S3,281
Product_0289,S4,191
Product_0290,S1,2
Product_0290,S2,2
Product_0290,S3,2
Product_0290,S4,2
Product_0291,S1,8
Product_0291,S2,9
Product_0291,S3,7
Product_0291,S4,6
Product_0292,S1,71
Product_0292,S2,54
Product_0292,S3,72
Product_0292,S4,48
Product_0294,S1,265
Product_0294,S2,263
Product_0294,S3,375
Product_0294,S4,340
Product_0295,S1,18
Product_0295,S2,22
Product_0295,S3,16
Product_0295,S4,20
Product_0296,S1,225
Product_0296,S2,280
Product_0296,S3,307
Product_0296,S4,348
Product_0297,S1,1306
Product_0297,S2,1744
Product_0297,S3,1390
Product_0297,S4,1608
Product_0298,S1,252
Product_0298,S2,348
Product_0298,S3,331
Product_0298,S4,343
Product_0299,S1,97
Product_0299,S2,93
Product_0299,S3,70
Product_0299,S4,78
Product_0300,S1,6
Product_0300,S2,5
Product_0300,S3,7
Product_0300,S4,5
Product_0301,S1,885
Product_0301,S2,817
Product_0301,S3,736
Product_0301,S4,612
Product_0302,S1,2
Product_0302,S2,2
Product_0302,S3,2
Product_0302,S4,2
Product_0303,S1,7
Product_0303,S2,6
Product_0303,S3,8
Product_0303,S4,8
Product_0304,S1,1214
Product_0304,S2,911
Product_0304,S3,1371
Product_0304,S4,1067
Product_0305,S1,1
Product_0305,S2,1
Product_0305,S3,1
Product_0305,S4,1
Product_0306,S1,4
Product_0306,S2,4
Product_0306,S3,4
Product_0306,S4,4
Product_0307,S1,224
Product_0307,S2,255
Product_0307,S3,225
Product_0307,S4,306
Product_0308,S1,967
Product_0308,S2,1274
Product_0308,S3,1055
Product_0308,S4,921
Product_0309,S1,43
Product_0309,S2,41
Product_0309,S3,53
Product_0309,S4,52
Product_0310,S1,167
Product_0310,S2,194
Product_0310,S3,156
Product_0310,S4,185
Product_0311,S1,375
Product_0311,S2,293
Product_0311,S3,286
Product_0311,S4,331
Product_0313,S1,247
Product_0313,S2,200
Product_0313,S3,250
Product_0313,S4,187
Product_0314,S1,132
Product_0314,S2,101
Product_0314,S3,132
Product_0314,S4,106
Product_0315,S1,49
Product_0315,S2,49
Product_0315,S3,46
Product_0315,S4,35
Product_0316,S1,30
Product_0316,S2,24
Product_0316,S3,26
Product_0316,S4,20
Product_0317,S1,270
Product_0317,S2,220
Product_0317,S3,290
Product_0317,S4,291
Product_0318,S1,129
Product_0318,S2,126
Product_0318,S3,140
Product_0318,S4,195
Product_0322,S1,35
Product_0322,S2,28
Product_0322,S3,26
Product_0322,S4,34
Product_0323,S1,66
Product_0323,S2,72
Product_0323,S3,56
Product_0323,S4,78
Product_0324,S1,17
Product_0324,S2,18
Product_0324,S3,17
Product_0324,S4,12
Product_0325,S1,53
Product_0325,S2,64
Product_0325,S3,69
Product_0325,S4,55
Product_0327,S1,3
Product_0327,S2,4
Product_0327,S3,3
Product_0327,S4,3
Product_0328,S1,4
Product_0328,S2,4
Product_0328,S3,3
Product_0328,S4,4
Product_0329,S1,7
Product_0329,S2,7
Product_0329,S3,6
Product_0329,S4,7
Product_0331,S1,6
Product_0331,S2,7
Product_0331,S3,6
Product_0331,S4,5
Product_0332,S1,84
Product_0332,S2,101
Product_0332,S3,89
Product_0332,S4,92
Product_0333,S1,310
Product_0333,S2,335
Product_0333,S3,335
Product_0333,S4,302
Product_0334,S1,2
Product_0334,S2,2
Product_0334,S3,2
Product_0334,S4,2
Product_0335,S1,95
Product_0335,S2,76
Product_0335,S3,83
Product_0335,S4,96
Product_0336,S1,61
Product_0336,S2,73
Product_0336,S3,80
Product_0336,S4,82
Product_0337,S1,79
Product_0337,S2,81
Product_0337,S3,52
Product_0337,S4,68
Product_0338,S1,65
Product_0338,S2,64
Product_0338,S3,43
Product_0338,S4,46
Product_0339,S1,9
Product_0339,S2,10
Product_0339,S3,9
Product_0339,S4,10
Product_0340,S1,1
Product_0340,S2,1
Product_0340,S3,1
Product_0340,S4,1
Product_0341,S1,18
Product_0341,S2,14
Product_0341,S3,16
Product_0341,S4,18
Product_0344,S1,1086
Product_0344,S2,1124
Product_0344,S3,788
Product_0344,S4,871
Product_0345,S1,29
Product_0345,S2,31
Product_0345,S3,23
Product_0345,S4,31
Product_0346,S1,91
Product_0346,S2,98
Product_0346,S3,94
Product_0346,S4,70
Product_0348,S1,296
Product_0348,S2,372
Product_0348,S3,351
Product_0348,S4,471
Product_0349,S1,44
Product_0349,S2,43
Product_0349,S3,56
Product_0349,S4,46
Product_0350,S1,8
Product_0350,S2,8
Product_0350,S3,6
Product_0350,S4,7
Product_0351,S1,91
Product_0351,S2,87
Product_0351,S3,134
Product_0351,S4,101
Product_0353,S1,36
Product_0353,S2,26
Product_0353,S3,33
Product_0353,S4,27
Product_0354,S1,3
Product_0354,S2,2
Product_0354,S3,3
Product_0354,S4,2
Product_0355,S1,10273
Product_0355,S2,11696
Product_0355,S3,11058
Product_0355,S4,11652
Product_0356,S1,5080
Product_0356,S2,6612
Product_0356,S3,7965
Product_0356,S4,5658
Product_0357,S1,35622
Product_0357,S2,26554
Product_0357,S3,42369
Product_0357,S4,32902
Product_0358,S1,246533
Product_0358,S2,230011
Product_0358,S3,249450
Product_0358,S4,200884
Product_0359,S1,43716
Product_0359,S2,53945
Product_0359,S3,55051
Product_0359,S4,52734
Product_0361,S1,350
Product_0361,S2,344
Product_0361,S3,341
Product_0361,S4,289
Product_0362,S1,3
Product_0362,S2,3
Product_0362,S3,4
Product_0362,S4,3
Product_0363,S1,1
Product_0363,S2,1
Product_0363,S3,1
Product_0363,S4,1
Product_0364,S1,140
Product_0364,S2,149
Product_0364,S3,136
Product_0364,S4,148
Product_0365,S1,2
Product_0365,S2,2
Product_0365,S3,2
Product_0365,S4,2
Product_0367,S1,12660
Product_0367,S2,16072
Product_0367,S3,12194
Product_0367,S4,13552
Product_0369,S1,21162
Product_0369,S2,26741
Product_0369,S3,18944
Product_0369,S4,23481
Product_0370,S1,2180
Product_0370,S2,2330
Product_0370,S3,1574
Product_0370,S4,1795
Product_0373,S1,1374
Product_0373,S2,1517
Product_0373,S3,1897
Product_0373,S4,1445
Product_0375,S1,160
Product_0375,S2,177
Product_0375,S3,186
Product_0375,S4,196
Product_0377,S1,269
Product_0377,S2,226
Product_0377,S3,323
Product_0377,S4,324
Product_0378,S1,2125
Product_0378,S2,1655
Product_0378,S3,1776
Product_0378,S4,2195
Product_0380,S1,2236
Product_0380,S2,2693
Product_0380,S3,3312
Product_0380,S4,2341
Product_0382,S1,0
Product_0382,S2,0
Product_0382,S3,0
Product_0382,S4,0
Product_0383,S1,1302
Product_0383,S2,1493
Product_0383,S3,991
Product_0383,S4,1432
Product_0386,S1,1808
Product_0386,S2,1653
Product_0386,S3,1378
Product_0386,S4,1959
Product_0389,S1,1142
Product_0389,S2,893
Product_0389,S3,926
Product_0389,S4,1070
Product_0393,S1,10
Product_0393,S2,8
Product_0393,S3,12
Product_0393,S4,9
Product_0394,S1,7
Product_0394,S2,7
Product_0394,S3,7
Product_0394,S4,10
Product_0395,S1,25
Product_0395,S2,28
